naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
dr.Frei ortoza za zapešće s fiksacijom palca - Lijeva,S8555L,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei podesivi steznik za zapešće,Product_6ddeaf8e-3459-4474-bd15-92a33acd9558,dr.Frei,,,9.00,NE,,9.00,,dostupno
dr.Frei stabilizirajuća ortoza za zglob s potporom - L/XL,FG851,dr.Frei,,,45.00,NE,,45.00,,nedostupno
dr.Frei stabilizirajuća ortoza za zglob s potporom - S/M,Product_36fa7243-ca0d-4787-a495-374f3d04283b-S-M,dr.Frei,,,45.00,NE,,45.00,,nedostupno
dr.Frei stabilizirajući steznik za koljeno,1369,dr.Frei,,,35.00,NE,,35.00,,dostupno
dr.Frei steznik za gležanj,S7028,dr.Frei,,,30.00,NE,,30.00,,nedostupno
dr.Frei steznik za patelu koljena univerzalni,FG610,dr.Frei,,,15.00,NE,,15.00,,dostupno
dr.Frei Turbo Base kompresijski inhalator,1411,dr.Frei,,,55.00,NE,,55.00,,dostupno
dr.Frei Turbo Care kompresijski inhalator,1411,dr.Frei,,,65.00,NE,,65.00,,dostupno
Drveni štap Derby Crni  816117.N,OXY-816117.N,Identites,,,17.90,NE,,17.90,,nedostupno
Drveni štap Derby Smeđi,OXY-816117.F,Identites,,,17.90,NE,,17.90,,dostupno
Drzac za kadu 812093,OXY-812093,Identites,,,69.90,NE,,69.90,,dostupno
E-Fold Lite sklopiva električna invalidska kolica,824048,,,,3199.00,NE,,3199.00,,nedostupno
Eco Assist elektromotorni dodatak za invalidska kolica,875037,Rehasense,,,5200.00,NE,,5200.00,,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Easy electric,821078,Identites,,,315.00,NE,,315.00,,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Eco,821001,Identites,,,115.00,NE,,115.00,,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Up Easy,821076,Identites,,,185.00,NE,,185.00,,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Up Easy Med,821077,Identites,,,235.00,NE,,235.00,,nedostupno
Ergo Reacher hvataljka 67cm 817067 - 67 cm,OXY-817067,Identites,,,14.50,NE,,14.50,,dostupno
Ergo Reacher hvataljka 67cm 817067 - 76 cm,ergo-reacher-hvataljka-67cm-817067-76-cm,Identites,,,14.50,NE,,14.50,,nedostupno
Ergo štaka Opti Comfort Premium 816047.BLEU,OXY-816047.BLEU,Identites,,,40.00,NE,,40.00,,dostupno
Ergo štaka Opti Comfort Premium 816047.NOIR,OXY-816047.NOIR,Identites,,,40.00,NE,,40.00,,dostupno
Ergo štaka Opti Comfort Premium 816047.VIOLET,OXY-816047.VIOLET,Identites,,,40.00,NE,,40.00,,dostupno
"Fischer & Paykel Eson 2 nazalna maska za potpomognuto disanje, CPAP - L",Product_99abf954-d0fd-440f-8cc9-3736eec9bf38-L,Fischer&Paykel,,,66.00,NE,,66.00,,dostupno
"Fischer & Paykel Eson 2 nazalna maska za potpomognuto disanje, CPAP - M",Product_99abf954-d0fd-440f-8cc9-3736eec9bf38-M,Fischer&Paykel,,,66.00,NE,,66.00,,dostupno
"Fischer & Paykel Eson 2 nazalna maska za potpomognuto disanje, CPAP - S",01MT0019,Fischer&Paykel,,,66.00,NE,,66.00,,dostupno
Fisher & Paykel Brevida™  nazalna pillow CPAP maska - M-L,Product_79218dc0-74d0-418c-9f4f-b32d56b6f920-M-L,Fischer&Paykel,,,115.00,NE,,115.00,,nedostupno
Fisher & Paykel Brevida™  nazalna pillow CPAP maska - XS-S,01MT0014,Fischer&Paykel,,,115.00,NE,,115.00,,nedostupno
Gel ulošci - 35-36,115059.35,,,,35.00,NE,,35.00,,nedostupno
Gel ulošci - 37-38,115038.37,,,,35.00,NE,,35.00,,dostupno
Gel ulošci - 39-40,115038.39,,,,35.00,NE,,35.00,,dostupno
Gel ulošci - 41-42,115038.41,,,,35.00,NE,,35.00,,dostupno
Gel ulošci - 43-44,115038.43,,,,35.00,NE,,35.00,,nedostupno
Gel uložak za petu - 35-37,115058.35,Deramed,,,20.00,NE,,20.00,,dostupno
Gel uložak za petu - 38-40,115058.38,Deramed,,,20.00,NE,,20.00,,dostupno
Gel uložak za petu - 41-44,115058.41,Deramed,,,20.00,NE,,20.00,,dostupno
Gelpro steznik glava 835202,OXY-835202,Identites,,,25.00,NE,,25.00,,dostupno
Gelpro steznik gležanj 835188,OXY-835188,Identites,,,25.00,NE,,25.00,,nedostupno
Gelpro steznik koljeno,835189,Deramed,,,23.00,NE,,23.00,,nedostupno
Gelpro steznik leđa trbuh 835191,OXY-835191,Identites,,,35.00,NE,,35.00,,nedostupno
Gelpro steznik natkoljenica,OXY-835190,Identites,,,27.00,NE,,27.00,,dostupno
Gelpro steznik rame 835192,OXY-835192,Identites,,,35.00,NE,,35.00,,dostupno
